Original Docket Text,Removed unnecessary POS & vocab,Removed unnecessary POS & vocab DT,DT Topics,Apply Trigram Phrase Model
"COMPLAINT against Cardiogenics Holdings, Inc. filing fee $ 400, receipt number 0207-8445206 Was the Disclosure Statement on Civil Cover Sheet completed -YES,, filed by LG Capital Funding, LLC. (Steinmetz, Michael) (Additional attachment(s) added on 3/11/2016: # 1 Civil Cover Sheet, # 2 Proposed Summons) (Bowens, Priscilla). (Entered: 03/10/2016)",complaint fee receipt number disclosure civil cover sheet complete yes civil cover sheet propose summons,,"Complaints, Service of Process",
"Case assigned to Judge Ann M Donnelly and Magistrate Judge Vera M. Scanlon. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such. (Bowens, Priscilla) (Entered: 03/11/2016)",please download locate website responsible courtesy individual practice,please download locate website responsible courtesy individual practice,,please_download_locate_website responsible_courtesy_individual_practice
"Summons Issued as to Cardiogenics Holdings, Inc.. (Bowens, Priscilla) (Entered: 03/11/2016)",summons inc,,Service of Process,
"NOTICE - emailed attorney regarding missing second page of the civil cover sheet. (Bowens, Priscilla) (Entered: 03/11/2016)",notice email miss civil cover sheet,,Notices,
"In accordance with Rule 73 of the Federal Rules of Civil Procedure and Local Rule 73.1, the parties are notified that if all parties consent a United States magistrate judge of this court is available to conduct all proceedings in this civil action including a (jury or nonjury) trial and to order the entry of a final judgment. Attached to the Notice is a blank copy of the consent form that should be filled out, signed and filed electronically only if all parties wish to consent. The form may also be accessed at the following link: http://www.uscourts.gov/uscourts/FormsAndFees/Forms/AO085.pdf. You may withhold your consent without adverse substantive consequences. Do NOT return or file the consent unless all parties have signed the consent. (Bowens, Priscilla) (Entered: 03/11/2016)",accordance rule federal rule civil procedure local rule notify consent united available conduct civil trial order entry final judgment notice blank consent fill electronically wish consent also access link http www uscourts gov uscourts formsandfees ao085 pdf withhold consent without adverse substantive consequence consent unless consent,,"Notices, Motions",
"This attorney case opening filing has been checked for quality control. See the attachment for corrections that were made, if any. (Bowens, Priscilla) (Entered: 03/11/2016)",open check quality control correction,open check quality control correction,,open_check_quality_control correction
"NOTICE of Appearance by Kevin Kehrli on behalf of LG Capital Funding, LLC (aty to be noticed) (Kehrli, Kevin) (Entered: 04/08/2016)",notice appearance,,Notices,
"EXHIBIT A - Backend Note by LG Capital Funding, LLC. Related document: 1 Complaint, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 04/11/2016)",backend note complaint,,Complaints,
"EXHIBIT B - TA Letter by LG Capital Funding, LLC. Related document: 1 Complaint, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 04/11/2016)",ta letter complaint,,Complaints,
"EXHIBIT C - Notice of Conversion by LG Capital Funding, LLC. Related document: 1 Complaint, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 04/11/2016)",c notice conversion complaint,,"Notices, Complaints",
"MOTION for Extension of Time to File Answer by Cardiogenics Holdings, Inc. (Kogan, Simon) Modified on 4/13/2016 to add motion (Quinlan, Krista). (Entered: 04/12/2016)",motion extension answer motion,,"Answers to Complaints, Motions",
"NOTICE of Appearance by Simon S. Kogan on behalf of Cardiogenics Holdings, Inc. (aty to be noticed) (Kogan, Simon) (Entered: 04/13/2016)",notice appearance,,Notices,
"ORDER granting 9 Motion for Extension of Time to Answer. Defendant's deadline to answer the Complaint or otherwise move is extended to 5/17/2016. SCHEDULING ORDER: As set forth in the attached Order, an Initial Conference is scheduled for 5/20/2016 at 12:00 PM before Magistrate Judge Scanlon in Courtroom 504 North. Plaintiff's counsel is directed to confirm with Defendant's counsel that all necessary participants are aware of this conference. Counsel must complete the attached joint proposed scheduling order and file on ECF no later than 5/12/2016. Ordered by Magistrate Judge Vera M. Scanlon on 4/13/2016. (Quinlan, Krista) (Entered: 04/13/2016)",order grant motion extension answer deadline answer complaint otherwise move extend schedule order attached order initial conference schedule pm courtroom north confirm necessary participant aware conference complete joint propose schedule order order,,"Complaints, Answers to Complaints, Motions",
