Case ID,Date Filed,#,Docket Text,standard_clean,keep_allcaps_clean,,,,,,,
 1:16-cv-01215-AMD-SJB,2016-03-10,1,"COMPLAINT against Cardiogenics Holdings, Inc. filing fee $ 400, receipt number 0207-8445206 Was the Disclosure Statement on Civil Cover Sheet completed -YES,, filed by LG Capital Funding, LLC. (Steinmetz, Michael) (Additional attachment(s) added on 3/11/2016: # 1 Civil Cover Sheet, # 2 Proposed Summons) (Bowens, Priscilla). (Entered: 03/10/2016)","['complaint', 'cardiogenics', 'hold', 'inc', 'file', 'fee', '400', 'receipt', 'number', '02078445206', 'disclosure', 'statement', 'civil', 'cover', 'sheet', 'complete', 'yes', 'file', 'lg', 'capital', 'fund', 'llc', 'steinmetz', 'michael', 'additional', 'attachments', 'add', '3112016', '1', 'civil', 'cover', 'sheet', '2', 'propose', 'summon', 'bowens', 'priscilla', 'enter', '03102016']","['COMPLAINT', 'cardiogenics', 'hold', 'inc', 'file', 'fee', '400', 'receipt', 'number', '02078445206', 'disclosure', 'statement', 'civil', 'cover', 'sheet', 'complete', 'YES', 'file', 'LG', 'capital', 'fund', 'LLC', 'steinmetz', 'michael', 'additional', 'attachments', 'add', '3112016', '1', 'civil', 'cover', 'sheet', '2', 'propose', 'summon', 'bowens', 'priscilla', 'enter', '03102016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-03-10,,"Case assigned to Judge Ann M Donnelly and Magistrate Judge Vera M. Scanlon. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such. (Bowens, Priscilla) (Entered: 03/11/2016)","['case', 'assign', 'judge', 'ann', 'donnelly', 'magistrate', 'judge', 'vera', 'm', 'scanlon', 'please', 'download', 'review', 'individual', 'practice', 'assign', 'judge', 'locate', 'website', 'attorneys', 'responsible', 'provide', 'courtesy', 'copy', 'judge', 'individual', 'practice', 'require', 'such', 'bowens', 'priscilla', 'enter', '03112016']","['case', 'assign', 'judge', 'ann', 'M', 'donnelly', 'magistrate', 'judge', 'vera', 'M', 'scanlon', 'please', 'download', 'review', 'individual', 'practice', 'assign', 'judge', 'locate', 'website', 'attorneys', 'responsible', 'provide', 'courtesy', 'copy', 'judge', 'individual', 'practice', 'require', 'such', 'bowens', 'priscilla', 'enter', '03112016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-03-10,2,"Summons Issued as to Cardiogenics Holdings, Inc.. (Bowens, Priscilla) (Entered: 03/11/2016)","['summon', 'issue', 'cardiogenics', 'hold', 'inc', 'bowens', 'priscilla', 'enter', '03112016']","['summon', 'issue', 'cardiogenics', 'hold', 'inc', 'bowens', 'priscilla', 'enter', '03112016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-03-11,,"NOTICE - emailed attorney regarding missing second page of the civil cover sheet. (Bowens, Priscilla) (Entered: 03/11/2016)","['notice', 'email', 'attorney', 'regard', 'miss', 'second', 'page', 'civil', 'cover', 'sheet', 'bowens', 'priscilla', 'enter', '03112016']","['NOTICE', 'email', 'attorney', 'regard', 'miss', 'second', 'page', 'civil', 'cover', 'sheet', 'bowens', 'priscilla', 'enter', '03112016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-03-11,3,"In accordance with Rule 73 of the Federal Rules of Civil Procedure and Local Rule 73.1, the parties are notified that if all parties consent a United States magistrate judge of this court is available to conduct all proceedings in this civil action including a (jury or nonjury) trial and to order the entry of a final judgment. Attached to the Notice is a blank copy of the consent form that should be filled out, signed and filed electronically only if all parties wish to consent. The form may also be accessed at the following link: http://www.uscourts.gov/uscourts/FormsAndFees/Forms/AO085.pdf. You may withhold your consent without adverse substantive consequences. Do NOT return or file the consent unless all parties have signed the consent. (Bowens, Priscilla) (Entered: 03/11/2016)","['accordance', 'rule', '73', 'federal', 'rule', 'civil', 'procedure', 'local', 'rule', '731', 'party', 'notify', 'party', 'consent', 'unite', 'state', 'magistrate', 'judge', 'court', 'available', 'conduct', 'proceed', 'civil', 'action', 'include', 'jury', 'nonjury', 'trial', 'order', 'entry', 'final', 'judgment', 'attach', 'notice', 'blank', 'copy', 'consent', 'form', 'fill', 'out', 'sign', 'file', 'electronically', 'party', 'wish', 'consent', 'form', 'may', 'also', 'access', 'follow', 'link', 'httpwwwuscourtsgovuscourtsformsandfeesformsao085pdf', 'may', 'withhold', 'consent', 'without', 'adverse', 'substantive', 'consequences', 'return', 'file', 'consent', 'unless', 'party', 'sign', 'consent', 'bowens', 'priscilla', 'enter', '03112016']","['accordance', 'rule', '73', 'federal', 'rule', 'civil', 'procedure', 'local', 'rule', '731', 'party', 'notify', 'party', 'consent', 'unite', 'state', 'magistrate', 'judge', 'court', 'available', 'conduct', 'proceed', 'civil', 'action', 'include', 'jury', 'nonjury', 'trial', 'order', 'entry', 'final', 'judgment', 'attach', 'notice', 'blank', 'copy', 'consent', 'form', 'fill', 'out', 'sign', 'file', 'electronically', 'party', 'wish', 'consent', 'form', 'may', 'also', 'access', 'follow', 'link', 'httpwwwuscourtsgovuscourtsformsandfeesformsao085pdf', 'may', 'withhold', 'consent', 'without', 'adverse', 'substantive', 'consequences', 'NOT', 'return', 'file', 'consent', 'unless', 'party', 'sign', 'consent', 'bowens', 'priscilla', 'enter', '03112016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-03-11,4,"This attorney case opening filing has been checked for quality control. See the attachment for corrections that were made, if any. (Bowens, Priscilla) (Entered: 03/11/2016)","['attorney', 'case', 'open', 'file', 'check', 'quality', 'control', 'see', 'attachment', 'corrections', 'make', 'any', 'bowens', 'priscilla', 'enter', '03112016']","['attorney', 'case', 'open', 'file', 'check', 'quality', 'control', 'see', 'attachment', 'corrections', 'make', 'any', 'bowens', 'priscilla', 'enter', '03112016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-04-08,5,"NOTICE of Appearance by Kevin Kehrli on behalf of LG Capital Funding, LLC (aty to be noticed) (Kehrli, Kevin) (Entered: 04/08/2016)","['notice', 'appearance', 'kevin', 'kehrli', 'behalf', 'lg', 'capital', 'fund', 'llc', 'aty', 'notice', 'kehrli', 'kevin', 'enter', '04082016']","['NOTICE', 'appearance', 'kevin', 'kehrli', 'behalf', 'LG', 'capital', 'fund', 'LLC', 'aty', 'notice', 'kehrli', 'kevin', 'enter', '04082016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-04-11,6,"EXHIBIT A - Backend Note by LG Capital Funding, LLC. Related document: 1 Complaint, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 04/11/2016)","['exhibit', 'backend', 'note', 'lg', 'capital', 'fund', 'llc', 'relate', 'document', '1', 'complaint', 'file', 'lg', 'capital', 'fund', 'llc', 'kehrli', 'kevin', 'enter', '04112016']","['EXHIBITA', 'backend', 'note', 'LG', 'capital', 'fund', 'LLC', 'relate', 'document', '1', 'complaint', 'file', 'LG', 'capital', 'fund', 'LLC', 'kehrli', 'kevin', 'enter', '04112016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-04-11,7,"EXHIBIT B - TA Letter by LG Capital Funding, LLC. Related document: 1 Complaint, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 04/11/2016)","['exhibit', 'b', 'ta', 'letter', 'lg', 'capital', 'fund', 'llc', 'relate', 'document', '1', 'complaint', 'file', 'lg', 'capital', 'fund', 'llc', 'kehrli', 'kevin', 'enter', '04112016']","['EXHIBITB', 'TA', 'letter', 'LG', 'capital', 'fund', 'LLC', 'relate', 'document', '1', 'complaint', 'file', 'LG', 'capital', 'fund', 'LLC', 'kehrli', 'kevin', 'enter', '04112016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-04-11,8,"EXHIBIT C - Notice of Conversion by LG Capital Funding, LLC. Related document: 1 Complaint, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 04/11/2016)","['exhibit', 'c', 'notice', 'conversion', 'lg', 'capital', 'fund', 'llc', 'relate', 'document', '1', 'complaint', 'file', 'lg', 'capital', 'fund', 'llc', 'kehrli', 'kevin', 'enter', '04112016']","['EXHIBITC', 'notice', 'conversion', 'LG', 'capital', 'fund', 'LLC', 'relate', 'document', '1', 'complaint', 'file', 'LG', 'capital', 'fund', 'LLC', 'kehrli', 'kevin', 'enter', '04112016']",,,,,,,
