0,1,2
"('motion', 0.161)","('order', 0.36)","('rule', 0.225)"
"('hold', 0.135)","('letter_address', 0.096)","('inc', 0.124)"
"('order', 0.134)","('discovery', 0.068)","('letter', 0.093)"
"('schedule', 0.05)","('schedule', 0.047)","('lp', 0.085)"
"('pm', 0.046)","('report', 0.035)","('letter_address', 0.064)"
"('rule', 0.046)","('protective', 0.035)","('motion', 0.048)"
"('due', 0.043)","('deposition', 0.032)","('propose', 0.038)"
"('endorsement', 0.038)","('status_report', 0.031)","('discovery', 0.036)"
"('discovery', 0.036)","('letter', 0.031)","('order', 0.031)"
"('grant', 0.035)","('propose', 0.03)","('brief', 0.03)"
