0,1,2,3,4,5
"('motion', 0.233)","('motion', 0.162)","('rule', 0.372)","('minute_entry_hold', 0.186)","('order', 0.442)","('order', 0.164)"
"('report', 0.117)","('hold', 0.135)","('letter_address', 0.09)","('discovery_hear_hold', 0.135)","('discovery', 0.09)","('letter_address', 0.14)"
"('error', 0.11)","('letter_address', 0.111)","('status_report', 0.089)","('endorsement', 0.077)","('schedule', 0.045)","('letter', 0.129)"
"('letter', 0.079)","('assign', 0.068)","('due', 0.066)","('order', 0.053)","('protective', 0.04)","('deposition', 0.085)"
"('rule', 0.072)","('order', 0.062)","('iii', 0.054)","('endorsed_letter_address', 0.052)","('motion', 0.038)","('hold', 0.062)"
"('hold', 0.063)","('discovery', 0.06)","('hold', 0.043)","('propose', 0.052)","('issue', 0.033)","('schedule', 0.057)"
"('due', 0.048)","('loan', 0.052)","('discovery', 0.043)","('letter', 0.044)","('propose', 0.023)","('minute_entry_hold', 0.04)"
"('entry', 0.04)","('propose', 0.043)","('order', 0.038)","('schedule', 0.043)","('loan', 0.023)","('jury_trial_hold', 0.04)"
"('filing', 0.032)","('motion_limine', 0.043)","('propose', 0.019)","('state', 0.043)","('protocol', 0.023)","('endorsement', 0.034)"
"('grant', 0.025)","('schedule', 0.035)","('amend', 0.019)","('jury_trial_hold', 0.035)","('trial', 0.023)","('motion_limine', 0.034)"
