,Case ID,Date Filed,#,Docket Text,topics
1, 1:16-cv-01215-AMD-SJB,2016-03-10,1.0,"COMPLAINT against Cardiogenics Holdings, Inc. filing fee $ 400, receipt number 0207-8445206 Was the Disclosure Statement on Civil Cover Sheet completed -YES,, filed by LG Capital Funding, LLC. (Steinmetz, Michael) (Additional attachment(s) added on 3/11/2016: # 1 Civil Cover Sheet, # 2 Proposed Summons) (Bowens, Priscilla). (Entered: 03/10/2016)","[('Topic 4', 0.67043), ('Topic 1', 0.2538), ('Topic 7', 0.05163)]"
2, 1:16-cv-01215-AMD-SJB,2016-03-10,,"Case assigned to Judge Ann M Donnelly and Magistrate Judge Vera M. Scanlon. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such. (Bowens, Priscilla) (Entered: 03/11/2016)","[('Topic 4', 0.67044), ('Topic 1', 0.25378), ('Topic 7', 0.05163)]"
3, 1:16-cv-01215-AMD-SJB,2016-03-10,2.0,"Summons Issued as to Cardiogenics Holdings, Inc.. (Bowens, Priscilla) (Entered: 03/11/2016)","[('Topic 4', 0.6704), ('Topic 1', 0.25377), ('Topic 7', 0.05168)]"
4, 1:16-cv-01215-AMD-SJB,2016-03-11,,"NOTICE - emailed attorney regarding missing second page of the civil cover sheet. (Bowens, Priscilla) (Entered: 03/11/2016)","[('Topic 4', 0.67043), ('Topic 1', 0.25379), ('Topic 7', 0.05165)]"
5, 1:16-cv-01215-AMD-SJB,2016-03-11,3.0,"In accordance with Rule 73 of the Federal Rules of Civil Procedure and Local Rule 73.1, the parties are notified that if all parties consent a United States magistrate judge of this court is available to conduct all proceedings in this civil action including a (jury or nonjury) trial and to order the entry of a final judgment. Attached to the Notice is a blank copy of the consent form that should be filled out, signed and filed electronically only if all parties wish to consent. The form may also be accessed at the following link: http://www.uscourts.gov/uscourts/FormsAndFees/Forms/AO085.pdf. You may withhold your consent without adverse substantive consequences. Do NOT return or file the consent unless all parties have signed the consent. (Bowens, Priscilla) (Entered: 03/11/2016)","[('Topic 4', 0.67042), ('Topic 1', 0.2538), ('Topic 7', 0.05164)]"
6, 1:16-cv-01215-AMD-SJB,2016-03-11,4.0,"This attorney case opening filing has been checked for quality control. See the attachment for corrections that were made, if any. (Bowens, Priscilla) (Entered: 03/11/2016)","[('Topic 4', 0.67039), ('Topic 1', 0.25376), ('Topic 7', 0.0517)]"
7, 1:16-cv-01215-AMD-SJB,2016-04-08,5.0,"NOTICE of Appearance by Kevin Kehrli on behalf of LG Capital Funding, LLC (aty to be noticed) (Kehrli, Kevin) (Entered: 04/08/2016)","[('Topic 4', 0.6694), ('Topic 1', 0.24899), ('Topic 9', 0.05746)]"
8, 1:16-cv-01215-AMD-SJB,2016-04-11,6.0,"EXHIBIT A - Backend Note by LG Capital Funding, LLC. Related document: 1 Complaint, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 04/11/2016)","[('Topic 4', 0.67039), ('Topic 1', 0.25378), ('Topic 7', 0.05169)]"
9, 1:16-cv-01215-AMD-SJB,2016-04-11,7.0,"EXHIBIT B - TA Letter by LG Capital Funding, LLC. Related document: 1 Complaint, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 04/11/2016)","[('Topic 4', 0.67042), ('Topic 1', 0.25379), ('Topic 7', 0.05165)]"
10, 1:16-cv-01215-AMD-SJB,2016-04-11,8.0,"EXHIBIT C - Notice of Conversion by LG Capital Funding, LLC. Related document: 1 Complaint, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 04/11/2016)","[('Topic 4', 0.67044), ('Topic 1', 0.25374), ('Topic 7', 0.05167)]"
