0,1,2
"('motion', 0.09)","('sign', 0.035)","('order', 0.053)"
"('order', 0.068)","('motion', 0.033)","('motion', 0.051)"
"('plaintiff', 0.02)","('attachment', 0.015)","('notice', 0.018)"
"('notice', 0.015)","('request', 0.015)","('magistrate', 0.015)"
"('court', 0.014)","('order', 0.012)","('stipulation', 0.014)"
"('case', 0.013)","('letter', 0.012)","('counsel', 0.011)"
"('complaint', 0.011)","('serve', 0.012)","('dismiss', 0.011)"
"('schedule', 0.011)","('notice', 0.011)","('plaintiff', 0.01)"
"('dismiss', 0.011)","('mro', 0.011)","('may', 0.009)"
"('letter', 0.011)","('sign_magistrate', 0.011)","('hereby', 0.009)"
