0,1,2
"('order', 0.145)","('motion', 0.076)","('motion', 0.084)"
"('motion', 0.058)","('notice', 0.047)","('due', 0.029)"
"('request', 0.024)","('order', 0.036)","('order', 0.028)"
"('conference_hold', 0.022)","('amend_complaint', 0.023)","('dismiss', 0.027)"
"('discovery', 0.017)","('letter', 0.023)","('request', 0.024)"
"('serve', 0.016)","('abovecaptioned', 0.022)","('notice', 0.021)"
"('stipulation', 0.016)","('conference', 0.02)","('send', 0.021)"
"('complaint', 0.016)","('schedule', 0.019)","('endorsement', 0.021)"
"('grant', 0.015)","('answer', 0.018)","('redaction', 0.021)"
"('notice_appearance', 0.015)","('official_notice_give', 0.018)","('calendar', 0.018)"
