0,1,2,3
"('order', 0.084)","('order', 0.075)","('amend_complaint', 0.039)","('motion', 0.114)"
"('motion', 0.08)","('motion', 0.049)","('notice', 0.033)","('order', 0.088)"
"('notice', 0.048)","('schedule', 0.029)","('endorsement', 0.032)","('request', 0.027)"
"('abovecaptioned', 0.031)","('request', 0.025)","('day', 0.031)","('dismiss', 0.02)"
"('due', 0.029)","('grant', 0.02)","('public_without_redaction_calendar', 0.031)","('support', 0.017)"
"('complaint', 0.022)","('conference', 0.018)","('transcript_remotely_electronically_available', 0.031)","('summary_judgment', 0.016)"
"('withdraw', 0.021)","('letter', 0.018)","('order', 0.029)","('discovery', 0.016)"
"('dismiss', 0.018)","('notice_appearance', 0.018)","('motion', 0.02)","('letter', 0.015)"
"('memorandum_law_opposition', 0.013)","('deposition', 0.016)","('telephone_conference_hold', 0.018)","('memorandum_law_support', 0.014)"
"('reply', 0.012)","('rule', 0.015)","('discovery_hear_hold', 0.016)","('serve', 0.014)"
