0,1,2,3,4
"('motion', 0.117)","('motion', 0.046)","('order', 0.054)","('order', 0.027)","('motion', 0.055)"
"('order', 0.076)","('order', 0.044)","('motion', 0.026)","('motion', 0.023)","('notice', 0.022)"
"('notice', 0.022)","('stipulation', 0.017)","('sign', 0.024)","('request', 0.018)","('order', 0.021)"
"('plaintiff', 0.018)","('schedule', 0.016)","('court', 0.022)","('plaintiff', 0.018)","('complaint', 0.017)"
"('letter', 0.017)","('request', 0.013)","('case', 0.019)","('cd', 0.015)","('due', 0.015)"
"('dismiss', 0.014)","('claim', 0.012)","('attachment', 0.016)","('modify', 0.014)","('dismiss', 0.014)"
"('memorandum_law_support', 0.011)","('plaintiff', 0.011)","('judgment', 0.014)","('counsel', 0.014)","('sign', 0.013)"
"(""'"", 0.01)","('dismiss', 0.01)","('may', 0.014)","('sign', 0.014)","('mro', 0.013)"
"('summary_judgment', 0.01)","('court', 0.01)","('magistrate', 0.01)","('stipulation', 0.013)","('plaintiff', 0.012)"
"('grant', 0.01)","('complaint', 0.009)","('notice', 0.01)","('l.p.', 0.012)","('court', 0.012)"
