Original Docket Text,Organization Portion,Name Portion,Identifying Org and Name,Stripped Org and Name,Removed unnecessary POS & vocab_x,DT Topics,Removed unnecessary POS & vocab DT_x,Apply Trigram Phrase Model_x,Removed unnecessary POS & vocab_y,Removed unnecessary POS & vocab DT_y,Apply Trigram Phrase Model_y,New Topocs,Action [Y/N],If Y
"Case assigned to Judge Ann M Donnelly and Magistrate Judge Vera M. Scanlon. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such. (Bowens, Priscilla) (Entered: 03/11/2016)",Individual Practices of the assigned Judges,Ann M Donnelly Vera M. Scanlon Bowens Priscilla,"Case assigned to Judge -NAME- -NAME- -NAME- and Magistrate Judge -NAME- -NAME- -NAME- . Please download and review the -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , located on our website . Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such . ( -NAME- , -NAME- ) ( Entered : 03/11/2016 )","Case assigned to Judge and Magistrate Judge . Please download and review the , located on our website . Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such . ( , ) ( Entered : 03/11/2016 )",please download locate website responsible courtesy individual practice,,please download locate website responsible courtesy individual practice,please_download_locate_website responsible_courtesy_individual_practice,"['assign .', 'please download locate website .', 'responsible courtesy individual practice .']","['assign .', 'please download locate website .', 'responsible courtesy individual practice .']","['assign .', 'please_download_locate_website .', 'responsible_courtesy_individual_practice .']",System Msg,N,
"This attorney case opening filing has been checked for quality control. See the attachment for corrections that were made, if any. (Bowens, Priscilla) (Entered: 03/11/2016)",,Bowens Priscilla,"This attorney case opening filing has been checked for quality control . See the attachment for corrections that were made , if any . ( -NAME- , -NAME- ) ( Entered : 03/11/2016 )","This attorney case opening filing has been checked for quality control . See the attachment for corrections that were made , if any . ( , ) ( Entered : 03/11/2016 )",open check quality control correction,,open check quality control correction,open_check_quality_control correction,"['open filing check quality control .', 'correction .']","['open filing check quality control .', 'correction .']","['open_filing_check_quality control .', 'correction .']",System Msg,N,
"Proposed Scheduling Order by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 05/12/2016)",LG Capital Funding,Kevin,"Proposed Scheduling Order by -ORG- -ORG- -ORG- , LLC ( Kehrli , -NAME- ) ( Entered : 05/12/2016 )","Proposed Scheduling Order by , LLC ( Kehrli , ) ( Entered : 05/12/2016 )",propose schedule order,,propose schedule order,propose schedule order,['propose schedule order'],['propose schedule order'],['propose schedule order'],Discovery,Y,Triage
"Letter re: Proposed Scheduling Order by LG Capital Funding, LLC (Attachments: # 1 Exhibit A, # 2 Exhibit B) (Kehrli, Kevin) (Entered: 05/12/2016)",LG Capital Funding,Kevin,"Letter re : Proposed Scheduling Order by -ORG- -ORG- -ORG- , LLC ( Attachments : # 1 Exhibit A , # 2 Exhibit B ) ( Kehrli , -NAME- ) ( Entered : 05/12/2016 )","Letter re : Proposed Scheduling Order by , LLC ( Attachments : # 1 Exhibit A , # 2 Exhibit B ) ( Kehrli , ) ( Entered : 05/12/2016 )",letter propose schedule order,,letter propose schedule order,letter propose schedule order,['letter propose schedule order'],['letter propose schedule order'],['letter propose schedule order'],Letter to Court,Y,Triage
"ORDER directing Plaintiff to respond to Defendant's letter at 41 by 12/2/2016. Ordered by Magistrate Judge Vera M. Scanlon on 11/30/2016. (Gersovitz, Ryan) (Entered: 11/30/2016)",,Vera M. Scanlon ( Gersovitz Ryan,"ORDER directing Plaintiff to respond to Defendant 's letter at 41 by 12/2/2016 . Ordered by Magistrate Judge -NAME- -NAME- -NAME- on 11/30/2016 . -NAME- -NAME- , -NAME- ) ( Entered : 11/30/2016 )","ORDER directing Plaintiff to respond to Defendant 's letter at 41 by 12/2/2016 . Ordered by Magistrate Judge on 11/30/2016 . , ) ( Entered : 11/30/2016 )",order respond letter order,,order respond letter order,order respond letter order,"['order respond letter .', 'order .', '']","['order respond letter .', 'order .', '']","['order respond letter .', 'order .', '']",Court's Order,Y,Triage
"ORDER directing Defendant to respond to Plaintiff's letter motion at 44 by 12/13/2016. Ordered by Magistrate Judge Vera M. Scanlon on 12/6/2016. (Gersovitz, Ryan) (Entered: 12/06/2016)",,Vera M. Scanlon ( Gersovitz Ryan,"ORDER directing Defendant to respond to Plaintiff 's letter motion at 44 by 12/13/2016 . Ordered by Magistrate Judge -NAME- -NAME- -NAME- on 12/6/2016 . -NAME- -NAME- , -NAME- ) ( Entered : 12/06/2016 )","ORDER directing Defendant to respond to Plaintiff 's letter motion at 44 by 12/13/2016 . Ordered by Magistrate Judge on 12/6/2016 . , ) ( Entered : 12/06/2016 )",order respond letter motion order,,order respond letter motion order,order respond letter motion order,"['order respond letter motion .', 'order .', '']","['order respond letter motion .', 'order .', '']","['order respond letter motion .', 'order .', '']",Court's Order,Y,Triage
"Letter regarding the Status of this Action by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 01/06/2017)",LG Capital Funding,Kevin,"Letter regarding the Status of this Action by -ORG- -ORG- -ORG- , LLC ( Kehrli , -NAME- ) ( Entered : 01/06/2017 )","Letter regarding the Status of this Action by , LLC ( Kehrli , ) ( Entered : 01/06/2017 )",letter status,,letter status,letter status,['letter status'],['letter status'],['letter status'],Letter to Court,Y,Triage
"Case reassigned to Magistrate Judge Sanket J. Bulsara. Magistrate Judge Vera M. Scanlon no longer assigned to the case. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such. (Mahoney, Brenna) (Entered: 09/09/2017)",Individual Practices of the assigned Judges,Sanket J. Bulsara Vera M. Scanlon Mahoney Brenna,"Case reassigned to Magistrate Judge -NAME- -NAME- -NAME- . Magistrate Judge -NAME- -NAME- -NAME- no longer assigned to the case . Please download and review the -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , located on our website . Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such . ( -NAME- , -NAME- ) ( Entered : 09/09/2017 )","Case reassigned to Magistrate Judge . Magistrate Judge no longer assigned to the case . Please download and review the , located on our website . Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such . ( , ) ( Entered : 09/09/2017 )",reassign longer please download locate website responsible courtesy individual practice,,reassign longer please download locate website responsible courtesy individual practice,reassign longer please_download_locate_website responsible_courtesy_individual_practice,"['reassign .', 'longer assign .', 'please download locate website .', 'responsible courtesy individual practice .']","['reassign .', 'longer assign .', 'please download locate website .', 'responsible courtesy individual practice .']","['reassign .', 'longer assign .', 'please_download_locate_website .', 'responsible_courtesy_individual_practice .']",System Msg,N,
"STATUS REPORT by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 12/12/2017)",LG Capital Funding,Kevin,"STATUS REPORT by -ORG- -ORG- -ORG- , LLC ( Kehrli , -NAME- ) ( Entered : 12/12/2017 )","STATUS REPORT by , LLC ( Kehrli , ) ( Entered : 12/12/2017 )",status report,,status report,status_report,['status report'],['status report'],['status_report'],Letter to Court,Y,Triage
"Letter Regarding the Court's 1/26/18 Order by LG Capital Funding, LLC (Attachments: # 1 Exhibit D to the Complaint, # 2 Exhibit E to the Complaint, # 3 Exhibit F to the Complaint) (Kehrli, Kevin) (Entered: 01/30/2018)",LG Capital Funding,Kevin,"Letter Regarding the Court 's 1/26/18 Order by -ORG- -ORG- -ORG- , LLC ( Attachments : # 1 Exhibit D to the Complaint , # 2 Exhibit E to the Complaint , # 3 Exhibit F to the Complaint ) ( Kehrli , -NAME- ) ( Entered : 01/30/2018 )","Letter Regarding the Court 's 1/26/18 Order by , LLC ( Attachments : # 1 Exhibit D to the Complaint , # 2 Exhibit E to the Complaint , # 3 Exhibit F to the Complaint ) ( Kehrli , ) ( Entered : 01/30/2018 )",letter order,,letter order,letter order,['letter order'],['letter order'],['letter order'],Letter to Court,Y,Triage
"Letter by LG Capital Funding, LLC (Attachments: # 1 Exhibit A - Conversion, # 2 Exhibit B - Screen-cap, # 3 Exhibit C - July Prices, # 4 Exhibit D - Prices since Conversion) (Kehrli, Kevin) (Entered: 02/12/2018)",LG Capital Funding,Kevin,"Letter by -ORG- -ORG- -ORG- , LLC ( Attachments : # 1 Exhibit A - Conversion , # 2 Exhibit B - Screen-cap , # 3 Exhibit C - July Prices , # 4 Exhibit D - Prices since Conversion ) ( Kehrli , -NAME- ) ( Entered : 02/12/2018 )","Letter by , LLC ( Attachments : # 1 Exhibit A - Conversion , # 2 Exhibit B - Screen-cap , # 3 Exhibit C - July Prices , # 4 Exhibit D - Prices since Conversion ) ( Kehrli , ) ( Entered : 02/12/2018 )",letter,,letter,letter,['letter'],['letter'],['letter'],Letter to Court,Y,Triage
"Mail Returned as Undeliverable. 64 Decision and Order returned to sender. Postal Notation: Moved/unknown. (Ramesar, Thameera) (Ramesar, Thameera). (Entered: 04/06/2018)",,,"Mail Returned as Undeliverable . 64 Decision and Order returned to sender . Postal Notation : Moved/unknown . ( Ramesar , Thameera ) ( Ramesar , Thameera ) . ( Entered : 04/06/2018 )","Mail Returned as Undeliverable . 64 Decision and Order returned to sender . Postal Notation : Moved/unknown . ( Ramesar , Thameera ) ( Ramesar , Thameera ) . ( Entered : 04/06/2018 )",undeliverable decision order sender postal notation move unknown,,undeliverable decision order sender postal notation move unknown,undeliverable decision order sender postal notation move unknown,"['undeliverable .', 'decision order sender .', 'postal notation movedunknown .', '.']","['undeliverable .', 'decision order sender .', 'postal notation movedunknown .', '.']","['undeliverable .', 'decision order sender .', 'postal notation movedunknown .', '.']",System Msg,N,
"Case assigned to Judge Nicholas G. Garaufis and Magistrate Judge Steven M. Gold. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such. (Bowens, Priscilla) (Entered: 03/08/2017)",Individual Practices of the assigned Judges,Nicholas G. Garaufis Steven M. Gold Bowens Priscilla,"Case assigned to Judge -NAME- -NAME- -NAME- and Magistrate Judge -NAME- -NAME- -NAME- . Please download and review the -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , located on our website . Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such . ( -NAME- , -NAME- ) ( Entered : 03/08/2017 )","Case assigned to Judge and Magistrate Judge . Please download and review the , located on our website . Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such . ( , ) ( Entered : 03/08/2017 )",please download locate website responsible courtesy individual practice,,please download locate website responsible courtesy individual practice,please_download_locate_website responsible_courtesy_individual_practice,"['assign .', 'please download locate website .', 'responsible courtesy individual practice .']","['assign .', 'please download locate website .', 'responsible courtesy individual practice .']","['assign .', 'please_download_locate_website .', 'responsible_courtesy_individual_practice .']",System Msg,N,
"This attorney case opening filing has been checked for quality control. See the attachment for corrections that were made, if any. (Bowens, Priscilla) (Entered: 03/08/2017)",,Bowens Priscilla,"This attorney case opening filing has been checked for quality control . See the attachment for corrections that were made , if any . ( -NAME- , -NAME- ) ( Entered : 03/08/2017 )","This attorney case opening filing has been checked for quality control . See the attachment for corrections that were made , if any . ( , ) ( Entered : 03/08/2017 )",open check quality control correction,,open check quality control correction,open_check_quality_control correction,"['open filing check quality control .', 'correction .']","['open filing check quality control .', 'correction .']","['open_filing_check_quality control .', 'correction .']",System Msg,N,
"SCHEDULING ORDER: The hearing on the court's 6 Order to Show Cause is RESCHEDULED for April 21, 2017, at 10:00 AM in Courtroom 4D South. All other deadlines shall remain in effect. Ordered by Judge Nicholas G. Garaufis on 4/4/2017. (Weigel, Jessica) (Entered: 04/04/2017)",,Nicholas G. Garaufis Weigel Jessica,"SCHEDULING ORDER : The hearing on the court 's 6 Order to Show Cause is RESCHEDULED for April 21 , 2017 , at 10:00 AM in Courtroom 4D South . All other deadlines shall remain in effect . Ordered by Judge -NAME- -NAME- -NAME- on 4/4/2017 . ( -NAME- , -NAME- ) ( Entered : 04/04/2017 )","SCHEDULING ORDER : The hearing on the court 's 6 Order to Show Cause is RESCHEDULED for April 21 , 2017 , at 10:00 AM in Courtroom 4D South . All other deadlines shall remain in effect . Ordered by Judge on 4/4/2017 . ( , ) ( Entered : 04/04/2017 )",schedule order hear order show cause reschedule courtroom south deadline effect order,,schedule order hear order show cause reschedule courtroom south deadline effect order,schedule order hear order show_cause reschedule courtroom south deadline effect order,"['schedule order hearing order show cause reschedule courtroom south .', 'deadline effect .', 'order .']","['schedule order hearing order show cause reschedule courtroom south .', 'deadline effect .', 'order .']","['schedule order hearing order show_cause reschedule courtroom south .', 'deadline effect .', 'order .']",Court's Order,Y,Triage
